team,exact_squad_rating,players_matched
Mexico,75.4,15
South Africa,64.8,5
South Korea,76.5,28
Czechia,77.5,0
Canada,75.1,33
Bosnia and Herzegovina,76.3,0
Qatar,73.0,0
Switzerland,79.5,25
Brazil,85.2,24
Morocco,79.9,21
Haiti,64.6,8
Scotland,77.4,25
United States,79.5,0
Paraguay,73.5,19
Australia,70.9,22
Turkey,80.3,0
Germany,85.2,26
Curacao,65.3,0
Ivory Coast,78.5,23
Ecuador,78.3,25
Netherlands,83.5,25
Japan,77.1,19
Sweden,79.1,25
Tunisia,72.1,15
Belgium,82.9,21
Egypt,76.7,7
Iran,72.3,3
New Zealand,71.0,0
Spain,86.2,26
Cape Verde,71.9,0
Saudi Arabia,73.0,40
Uruguay,79.0,20
France,86.1,22
Senegal,79.4,28
Iraq,66.2,9
Norway,80.1,26
Argentina,83.8,27
Algeria,78.1,16
Austria,78.5,23
Jordan,75.0,4
Portugal,85.3,27
DR Congo,76.2,0
Uzbekistan,75.5,2
Colombia,78.2,24
England,84.3,26
Croatia,81.0,25
Ghana,74.5,18
Panama,70.4,9
